"level3_pathway_name","B1mean","B2mean","B3mean","D1mean","D2mean","D3mean","Y1mean","Y2mean","Y3mean","pvalue_BvsD","pvalue_YvsD","YvsD","BvsD","blue","dark","yellow"
"Longevity regulating pathway - worm",24.2327853333333,26.1281096666667,34.320246,336.030606333333,92.2601256666667,534.468843,1665.91672233333,1464.33361133333,1671.24453166667,0.149208785057973,0.00286740932794382,4.98722109861471,0.0879566853437942,28.227047,320.919858333333,1600.49828844444
"Membrane trafficking",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,0.117175954554127,0.0293728053909231,3.35830716474022,0.0271365561082464,6.88687766666667,253.785986666667,852.291297333333
"Messenger RNA biogenesis",24.2327853333333,26.1281096666667,34.320246,336.030606333333,92.2601256666667,534.468843,1665.91672233333,1464.33361133333,1671.24453166667,0.149208785057973,0.00286740932794382,4.98722109861471,0.0879566853437942,28.227047,320.919858333333,1600.49828844444
"Mismatch repair",15.834411,3.585636,7.204801,202.243575,182.462864,221.856349,251.584014,1113.016881,1028.902972,0.00163812625173425,0.16172741318357,3.9460117144542,0.0438946281023754,8.87494933333333,202.187596,797.834622333333
"Mitochondrial biogenesis",19.50897775,21.55418225,27.612854,324.40338325,88.7024195,499.3033685,1502.127716,1341.195048,1397.016858,0.141766276573636,0.0053845554724536,4.64741012652332,0.0752688773458008,22.8920046666667,304.136390416667,1413.44654066667
"Necroptosis",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,0.117175954554127,0.0293728053909231,3.35830716474022,0.0271365561082464,6.88687766666667,253.785986666667,852.291297333333
"Nitrogen metabolism",727.550057,811.582711,711.8212635,116.9394155,430.3438925,224.5733875,73.9744805,73.039204,59.5888925,0.0236760419175917,0.1766358173796,0.267669605257703,2.91628490706019,750.3180105,257.285565166667,68.8675256666667
"NOD-like receptor signaling pathway",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,0.117175954554127,0.0293728053909231,3.35830716474022,0.0271365561082464,6.88687766666667,253.785986666667,852.291297333333
"Pathways in cancer",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,0.117175954554127,0.0293728053909231,3.35830716474022,0.0271365561082464,6.88687766666667,253.785986666667,852.291297333333
"Peptidases and inhibitors",30.450927,21.383102,20.2848833333333,362.985238666667,268.447981333333,433.872135,907.326355333333,824.092359333333,789.005116666667,0.0199245081800886,0.00176214981401511,2.3659167951271,0.067697878354637,24.0396374444444,355.101785,840.141277111111
"PI3K-Akt signaling pathway",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,0.117175954554127,0.0293728053909231,3.35830716474022,0.0271365561082464,6.88687766666667,253.785986666667,852.291297333333
"Plant-pathogen interaction",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,0.117175954554127,0.0293728053909231,3.35830716474022,0.0271365561082464,6.88687766666667,253.785986666667,852.291297333333
"Progesterone-mediated oocyte maturation",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,0.117175954554127,0.0293728053909231,3.35830716474022,0.0271365561082464,6.88687766666667,253.785986666667,852.291297333333
"Prokaryotic defense system",5.628032,7.122544,5.07483,294.226744,389.799292,267.434266,99.044977,125.272639,128.761714,0.0139239094884785,0.0269851451781786,0.371092024814715,0.0187347868981296,5.941802,317.153434,117.69311
"Prostate cancer",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,0.117175954554127,0.0293728053909231,3.35830716474022,0.0271365561082464,6.88687766666667,253.785986666667,852.291297333333
"Proteasome",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,0.117175954554127,0.0293728053909231,3.35830716474022,0.0271365561082464,6.88687766666667,253.785986666667,852.291297333333
"Protein kinases",2.265642,3.817496,1.394613,255.093591,262.441199,149.322165,526.816161,1136.441386,665.032447,0.0265097350012018,0.0901796533890278,3.4914384210029,0.0112134258238335,2.49258366666667,222.285651666667,776.096664666667
"Protein phosphatases and associated proteins",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,0.117175954554127,0.0293728053909231,3.35830716474022,0.0271365561082464,6.88687766666667,253.785986666667,852.291297333333
"Protein processing in endoplasmic reticulum",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,0.117175954554127,0.0293728053909231,3.35830716474022,0.0271365561082464,6.88687766666667,253.785986666667,852.291297333333
"Ribosome biogenesis",9.211264,6.586709,6.305244,1240.103631,859.511828,987.758418,505.422087,375.549791,242.574553,0.011756932921318,0.0114861624309376,0.36391654388543,0.00715922913148364,7.367739,1029.12462566667,374.515477
"RNA degradation",24.2327853333333,26.1281096666667,34.320246,336.030606333333,92.2601256666667,534.468843,1665.91672233333,1464.33361133333,1671.24453166667,0.149208785057973,0.00286740932794382,4.98722109861471,0.0879566853437942,28.227047,320.919858333333,1600.49828844444
"Salmonella infection",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,0.117175954554127,0.0293728053909231,3.35830716474022,0.0271365561082464,6.88687766666667,253.785986666667,852.291297333333
"Secretion system",33.565646,18.4731455,15.22351275,49.1269605,66.26015975,55.891631,120.25418375,235.0567685,518.78811775,0.0103882846304609,0.186329731310614,5.10337133836384,0.392706647842285,22.4207680833333,57.0929170833333,291.366356666667
"Th17 cell differentiation",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,0.117175954554127,0.0293728053909231,3.35830716474022,0.0271365561082464,6.88687766666667,253.785986666667,852.291297333333
"Transporters",2.3624472,2.399964,2.8166334,106.2475886,254.8403966,124.176646,45.7293648,35.786381,82.9995118,0.0766787306908363,0.140454800850942,0.339021735816958,0.0156183742080233,2.5263482,161.754877066667,54.8384192
"Tuberculosis",24.2327853333333,26.1281096666667,34.320246,336.030606333333,92.2601256666667,534.468843,1665.91672233333,1464.33361133333,1671.24453166667,0.149208785057973,0.00286740932794382,4.98722109861471,0.0879566853437942,28.227047,320.919858333333,1600.49828844444
"Two-component system",23.1323113333333,13.587929,10.6138795,117.782504,131.6538395,87.0351423333333,255.774842833333,535.518307666667,567.5362275,0.0129410176075183,0.0725852356059767,4.03846814726249,0.140677952891318,15.7780399444444,112.157161944444,452.943126
