Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Dilated cardiomyopathy,Dilated cardiomyopathy,,49,15.595238,3,0.517241,0.615556,0.014448
Energy metabolism,Energy metabolism,,43,10.285714,3,0.49505,0.587778,0.016736
Ascorbate and aldarate metabolism,Ascorbate and aldarate metabolism,,30,23.97619,4,0.505051,0.566111,0.007747
DNA replication,DNA replication,,35,25.404762,3,0.490196,0.566667,0.013472
Glycerophospholipid metabolism,Glycerophospholipid metabolism,,34,25.571428,3,0.505051,0.574444,0.014112
Homologous recombination,Homologous recombination,,37,39.357143,4,0.506757,0.582778,0.007459
Mismatch repair,Mismatch repair,,45,26.5,4,0.543478,0.622778,0.019875
"Neomycin, kanamycin and gentamicin biosynthesis","Neomycin, kanamycin and gentamicin biosynthesis",,37,43.952381,4,0.506757,0.583333,0.004513
Sulfur metabolism,Sulfur metabolism,,36,29.619047,3,0.488599,0.567778,0.009754
Bacterial secretion system,Bacterial secretion system,,23,8.119048,4,0.432277,0.496667,0.00105
Mineral absorption,Mineral absorption,,31,5.190476,3,0.508475,0.57,0.002049
D-Amino acid metabolism,D-Amino acid metabolism,,31,13.97619,4,0.446429,0.525,0.005387
Benzoate degradation,Benzoate degradation,,16,3.238095,4,0.410959,0.462222,0.015464
Terpenoid backbone biosynthesis,Terpenoid backbone biosynthesis,,17,7.214286,4,0.397878,0.451667,0.001491
Butanoate metabolism,Butanoate metabolism,,30,16.833333,5,0.461538,0.537444,0.00373
Insect hormone biosynthesis,Insect hormone biosynthesis,,59,55.452381,4,0.576923,0.671667,0.011994
Limonene and pinene degradation,Limonene and pinene degradation,,56,50.214285,4,0.572519,0.662778,0.011722
Longevity regulating pathway,Longevity regulating pathway,,21,-0.476191,4,0.443787,0.500556,0.003497
MAPK signaling pathway - fly,MAPK signaling pathway - fly,,21,-0.476191,4,0.443787,0.500556,0.003497
Signaling proteins,Signaling proteins,,30,17.095238,5,0.46875,0.543,0.004462
Transporters,Transporters,,14,3.952381,5,0.408719,0.456333,0.001246
Cytoskeleton proteins,Cytoskeleton proteins,,29,18.642857,3,0.480769,0.546667,0.010915
Protein digestion and absorption,Protein digestion and absorption,,52,34.880952,3,0.533808,0.632222,0.006628
Nucleotide excision repair,Nucleotide excision repair,,31,29.571428,4,0.491803,0.559444,0.004328
Citrate cycle (TCA cycle),Citrate cycle (TCA cycle),,44,13.142857,3,0.488599,0.585556,0.016552
Lipid biosynthesis proteins,Lipid biosynthesis proteins,,48,33.404762,3,0.555556,0.635556,0.011392
Porphyrin metabolism,Porphyrin metabolism,,48,30.833333,3,0.555556,0.635556,0.010571
Longevity regulating pathway - multiple species,Longevity regulating pathway - multiple species,,27,14,4,0.45045,0.519444,0.008713
Chemical carcinogenesis - receptor activation,Chemical carcinogenesis - receptor activation,,23,1.071429,4,0.424929,0.488333,0.003252
Folate biosynthesis,Folate biosynthesis,,26,12.714286,3,0.443787,0.511111,0.003201
IL-17 signaling pathway,IL-17 signaling pathway,,23,1.071429,4,0.424929,0.488333,0.003252
Nitrogen metabolism,Nitrogen metabolism,,34,17.452381,3,0.455927,0.538889,0.007257
Progesterone-mediated oocyte maturation,Progesterone-mediated oocyte maturation,,22,1.452381,4,0.421348,0.482778,0.002661
Prostate cancer,Prostate cancer,,23,1.071429,4,0.424929,0.488333,0.003252
Th17 cell differentiation,Th17 cell differentiation,,23,1.071429,4,0.424929,0.488333,0.003252
Vancomycin resistance,Vancomycin resistance,,15,-9.261905,4,0.39267,0.441667,0.00071
Chloroalkane and chloroalkene degradation,Chloroalkane and chloroalkene degradation,,45,37.809524,4,0.543478,0.622778,0.007112
Naphthalene degradation,Naphthalene degradation,,32,30.452381,4,0.511945,0.575,0.0019
Sulfur relay system,Sulfur relay system,,46,44.880952,4,0.559701,0.633889,0.008478
Cofactor metabolism,Cofactor metabolism,,16,11.404762,3,0.447761,0.492222,0.001542
Enzymes with EC numbers,Enzymes with EC numbers,,36,24.833333,3,0.5,0.575556,0.007827
DNA repair and recombination proteins,DNA repair and recombination proteins,,27,19.119047,3,0.496689,0.553333,0.010046
Glyoxylate and dicarboxylate metabolism,Glyoxylate and dicarboxylate metabolism,,23,15.190476,3,0.480769,0.533333,0.005641
Pentose phosphate pathway,Pentose phosphate pathway,,77,49.809524,4,0.625,0.733889,0.021633
Thiamine metabolism,Thiamine metabolism,,41,37.214286,4,0.543478,0.613889,0.006615
Transcription,Transcription,,58,51.5,4,0.572519,0.667222,0.010175
Estrogen signaling pathway,Estrogen signaling pathway,,32,21.404762,4,0.460123,0.538333,0.008815
Longevity regulating pathway - worm,Longevity regulating pathway - worm,,13,8.547619,4,0.412088,0.455,0.007995
Ribosome biogenesis,Ribosome biogenesis,,32,12.238095,4,0.491803,0.561667,0.008617
FoxO signaling pathway,FoxO signaling pathway,,8,8.642857,5,0.362319,0.395222,0.002853
Lysine biosynthesis,Lysine biosynthesis,,12,8.97619,5,0.379747,0.422444,0.000426
Monobactam biosynthesis,Monobactam biosynthesis,,12,8.97619,5,0.379747,0.422444,0.000426
GABAergic synapse,GABAergic synapse,,20,12.428571,3,0.488599,0.532222,0.006456
Glutamatergic synapse,Glutamatergic synapse,,25,11.761905,3,0.464396,0.525556,0.007167
Lipoarabinomannan (LAM) biosynthesis,Lipoarabinomannan (LAM) biosynthesis,,56,44.690476,4,0.570342,0.661667,0.011551
Streptomycin biosynthesis,Streptomycin biosynthesis,,21,-8.714286,3,0.464396,0.516667,0.003929
Inositol phosphate metabolism,Inositol phosphate metabolism,,22,-5.809524,4,0.46875,0.522778,0.004491
Prokaryotic defense system,Prokaryotic defense system,,8,-0.833333,4,0.390625,0.425,0.000517
Tuberculosis,Tuberculosis,,13,7.52381,4,0.412088,0.455,0.007995
Primary immunodeficiency,Primary immunodeficiency,,3,2.738095,5,0.291829,0.309667,0
Quorum sensing,Quorum sensing,,16,2.428571,3,0.406504,0.454444,0.00297
Transfer RNA biogenesis,Transfer RNA biogenesis,,26,13.976191,4,0.446429,0.515556,0.00083
Ubiquinone and other terpenoid-quinone biosynthesis,Ubiquinone and other terpenoid-quinone biosynthesis,,2,2,0,0,0,0
